	1	2	3	4	5	score	sum
recrods	2	0	0	0	0	0.3807970779778823	2
polarizers	0	0	0	2	0	0.3807970779778823	2
resultant	0	0	0	1	1	0.1224593312018546	2
chattel	0	1	0	0	1	-0.1224593312018546	2
photoshp	0	0	0	0	2	0.3807970779778823	2
researchibg	0	0	0	0	2	0.3807970779778823	2
naples	0	0	0	0	2	0.3807970779778823	2
porting	1	0	0	0	1	-0.2310585786300049	2
ragged	0	0	2	0	0	0.3807970779778823	2
unrecognizable	1	1	0	0	0	0.1224593312018546	2
frindly	0	1	0	0	1	-0.1224593312018546	2
rummmmble	0	0	0	0	2	0.3807970779778823	2
lilke	0	0	1	0	1	0.0	2
policeman	0	0	0	0	2	0.3807970779778823	2
bonesapart	0	0	0	0	2	0.3807970779778823	2
leage	0	0	0	0	2	0.3807970779778823	2
flashlihgt	1	1	0	0	0	0.1224593312018546	2
undies	0	0	0	2	0	0.3807970779778823	2
weakly	0	0	0	2	0	0.3807970779778823	2
felxibility	0	0	0	0	2	0.3807970779778823	2
positionable	0	0	0	0	2	0.3807970779778823	2
goodluck	1	0	1	0	0	0.0	2
lttle	0	0	0	0	2	0.3807970779778823	2
piedmont	0	0	0	2	0	0.3807970779778823	2
centex	0	0	0	0	2	0.3807970779778823	2
photoshoots	0	0	1	0	1	0.0	2
handycam	0	0	0	0	2	0.3807970779778823	2
resultado	0	0	0	1	1	0.1224593312018546	2
programe	1	1	0	0	0	0.1224593312018546	2
lancing	0	0	0	1	1	0.1224593312018546	2
publicize	0	0	0	1	1	0.1224593312018546	2
negetive	0	0	0	0	2	0.3807970779778823	2
boater	0	0	0	0	2	0.3807970779778823	2
grimm	0	0	0	1	1	0.1224593312018546	2
esd	0	0	0	0	2	0.3807970779778823	2
gangster	0	0	1	1	0	0.1224593312018546	2
podifier	0	0	0	2	0	0.3807970779778823	2
esv	0	0	0	0	2	0.3807970779778823	2
focuser	0	1	0	1	0	0.0	2
ull	0	0	0	1	1	0.1224593312018546	2
visted	0	0	0	1	1	0.1224593312018546	2
realizing	0	0	0	0	2	0.3807970779778823	2
gspr	0	0	0	0	2	0.3807970779778823	2
propretary	1	0	0	0	1	-0.2310585786300049	2
genere	1	0	0	1	0	-0.1224593312018546	2
lifesafers	0	0	0	0	2	0.3807970779778823	2
bleeping	1	1	0	0	0	0.1224593312018546	2
quarton	0	0	0	2	0	0.3807970779778823	2
circlular	0	0	1	1	0	0.1224593312018546	2
colling	1	0	0	0	1	-0.2310585786300049	2
programa	0	0	0	1	1	0.1224593312018546	2
unzipped	0	0	0	2	0	0.3807970779778823	2
rammount	0	0	0	0	2	0.3807970779778823	2
cdl	0	0	0	0	2	0.3807970779778823	2
possile	1	0	0	1	0	-0.1224593312018546	2
locater	0	0	0	1	1	0.1224593312018546	2
predispose	0	0	0	1	1	0.1224593312018546	2
busted	1	0	0	0	1	-0.2310585786300049	2
rigorously	1	0	0	0	1	-0.2310585786300049	2
fulfilled	0	0	0	0	2	0.3807970779778823	2
whn	0	0	0	0	2	0.3807970779778823	2
reemburse	2	0	0	0	0	0.3807970779778823	2
jiear	0	0	0	2	0	0.3807970779778823	2
uncoated	1	0	0	0	1	-0.2310585786300049	2
goint	1	0	0	0	1	-0.2310585786300049	2
neurotic	0	0	0	0	2	0.3807970779778823	2
rtv	0	0	0	2	0	0.3807970779778823	2
ruth	0	0	0	0	2	0.3807970779778823	2
casement	2	0	0	0	0	0.3807970779778823	2
hobbystore	0	0	0	2	0	0.3807970779778823	2
untoward	0	0	0	0	2	0.3807970779778823	2
recalibrates	0	0	0	0	2	0.3807970779778823	2
prose	0	0	0	0	2	0.3807970779778823	2
universalism	0	0	0	0	2	0.3807970779778823	2
kinko	0	1	0	0	1	-0.1224593312018546	2
comprimise	0	0	0	0	2	0.3807970779778823	2
eruption	0	0	0	1	1	0.1224593312018546	2
glich	0	1	0	1	0	0.0	2
napoleon	0	0	1	1	0	0.1224593312018546	2
nights	0	0	0	0	2	0.3807970779778823	2
extrmely	2	0	0	0	0	0.3807970779778823	2
borderless	1	1	0	0	0	0.1224593312018546	2
unmount	0	0	0	2	0	0.3807970779778823	2
windstar	0	0	1	1	0	0.1224593312018546	2
valua	0	2	0	0	0	0.3807970779778823	2
groundspeak	1	0	0	0	1	-0.2310585786300049	2
homewatcher	0	0	0	2	0	0.3807970779778823	2
presetting	0	0	0	1	1	0.1224593312018546	2
wihtout	0	0	0	0	2	0.3807970779778823	2
evan	1	0	0	0	1	-0.2310585786300049	2
pong	2	0	0	0	0	0.3807970779778823	2
expressmounts	0	0	0	0	2	0.3807970779778823	2
emusic	0	0	0	1	1	0.1224593312018546	2
researched	1	0	0	0	1	-0.2310585786300049	2
beatifully	0	1	0	0	1	-0.1224593312018546	2
remembered	0	1	0	0	1	-0.1224593312018546	2
quitecomfort	1	0	0	0	1	-0.2310585786300049	2
recoreds	0	0	0	0	2	0.3807970779778823	2
cerebral	0	0	0	1	1	0.1224593312018546	2
eary	0	0	0	1	1	0.1224593312018546	2
underdeveloped	0	1	0	0	1	-0.1224593312018546	2
gq	2	0	0	0	0	0.3807970779778823	2
newark	0	0	0	1	1	0.1224593312018546	2
unsurprising	0	0	0	0	2	0.3807970779778823	2
nitpicking	0	0	0	0	2	0.3807970779778823	2
chamois	0	1	0	1	0	0.0	2
consultation	0	1	0	0	1	-0.1224593312018546	2
repurpose	0	0	0	0	2	0.3807970779778823	2
extremes	0	0	0	1	1	0.1224593312018546	2
pate	1	0	0	0	1	-0.2310585786300049	2
clapton	0	0	1	0	1	0.0	2
podcaster	0	2	0	0	0	0.3807970779778823	2
powerhorns	0	0	0	0	2	0.3807970779778823	2
rocketfish	2	0	0	0	0	0.3807970779778823	2
prodoct	0	0	2	0	0	0.3807970779778823	2
lavazza	0	0	0	0	2	0.3807970779778823	2
chiropractor	0	0	0	0	2	0.3807970779778823	2
reproach	0	0	0	1	1	0.1224593312018546	2
unhooked	0	0	1	0	1	0.0	2
refrig	1	0	0	0	1	-0.2310585786300049	2
elongated	0	0	1	1	0	0.1224593312018546	2
harshness	0	0	0	0	2	0.3807970779778823	2
physicist	1	0	0	0	1	-0.2310585786300049	2
exsisted	0	0	0	0	2	0.3807970779778823	2
buh	0	0	1	0	1	0.0	2
ultralast	2	0	0	0	0	0.3807970779778823	2
residency	0	0	0	0	2	0.3807970779778823	2
gh	0	1	0	1	0	0.0	2
restarting	1	0	1	0	0	0.0	2
cabinates	0	0	0	0	2	0.3807970779778823	2
bun	0	0	0	1	1	0.1224593312018546	2
puts	0	0	1	0	1	0.0	2
renderer	0	0	0	1	1	0.1224593312018546	2
rendered	1	0	0	1	0	-0.1224593312018546	2
catid	0	0	0	2	0	0.3807970779778823	2
usado	0	0	0	0	2	0.3807970779778823	2
locations	0	0	0	0	2	0.3807970779778823	2
perimiter	0	0	0	1	1	0.1224593312018546	2
ludicrous	1	0	0	1	0	-0.1224593312018546	2
neverthless	0	0	0	2	0	0.3807970779778823	2
bil	1	0	0	0	1	-0.2310585786300049	2
bim	0	0	0	0	2	0.3807970779778823	2
gz	1	0	0	0	1	-0.2310585786300049	2
vostro	1	0	0	0	1	-0.2310585786300049	2
numorous	0	0	0	0	2	0.3807970779778823	2
brochures	1	0	0	0	1	-0.2310585786300049	2
houseguest	0	0	0	1	1	0.1224593312018546	2
labrador	2	0	0	0	0	0.3807970779778823	2
boosting	1	0	0	0	1	-0.2310585786300049	2
bir	0	0	0	0	2	0.3807970779778823	2
bif	2	0	0	0	0	0.3807970779778823	2
falsly	2	0	0	0	0	0.3807970779778823	2
longterm	0	0	0	0	2	0.3807970779778823	2
hightly	1	1	0	0	0	0.1224593312018546	2
embargo	0	0	0	1	1	0.1224593312018546	2
bue	1	0	0	1	0	-0.1224593312018546	2
wearm	0	1	1	0	0	0.1224593312018546	2
fulltime	0	0	1	0	1	0.0	2
carte	0	0	0	1	1	0.1224593312018546	2
garmy	0	0	0	0	2	0.3807970779778823	2
fran	0	0	0	1	1	0.1224593312018546	2
ecm	0	0	0	1	1	0.1224593312018546	2
photodraw	0	0	0	1	1	0.1224593312018546	2
uncountable	0	0	0	2	0	0.3807970779778823	2
babywatch	0	0	2	0	0	0.3807970779778823	2
vineyard	0	0	0	1	1	0.1224593312018546	2
capacitance	0	0	0	1	1	0.1224593312018546	2
germicide	0	0	0	0	2	0.3807970779778823	2
usign	0	0	0	0	2	0.3807970779778823	2
previos	0	0	0	1	1	0.1224593312018546	2
hush	0	0	0	2	0	0.3807970779778823	2
ebaums	0	0	0	0	2	0.3807970779778823	2
pummpin	0	0	0	0	2	0.3807970779778823	2
pagination	1	0	0	0	1	-0.2310585786300049	2
visio	0	0	0	1	1	0.1224593312018546	2
buuuuuuuuut	0	0	2	0	0	0.3807970779778823	2
featureless	0	0	0	1	1	0.1224593312018546	2
pottying	0	0	0	0	2	0.3807970779778823	2
lh	0	0	0	0	2	0.3807970779778823	2
filled	1	0	1	0	0	0.0	2
